Malformed or incomplete keys detected in Eurostat JSON (GDP):
Key: 328 -- Dims: [328] -- IDs: ['unit', 'geo', 'time']
Key: 329 -- Dims: [329] -- IDs: ['unit', 'geo', 'time']
Key: 0 -- Dims: [0] -- IDs: ['unit', 'geo', 'time']
Key: 1 -- Dims: [1] -- IDs: ['unit', 'geo', 'time']
Key: 2 -- Dims: [2] -- IDs: ['unit', 'geo', 'time']
Key: 3 -- Dims: [3] -- IDs: ['unit', 'geo', 'time']
Key: 4 -- Dims: [4] -- IDs: ['unit', 'geo', 'time']
Key: 5 -- Dims: [5] -- IDs: ['unit', 'geo', 'time']
Key: 6 -- Dims: [6] -- IDs: ['unit', 'geo', 'time']
Key: 7 -- Dims: [7] -- IDs: ['unit', 'geo', 'time']
Key: 8 -- Dims: [8] -- IDs: ['unit', 'geo', 'time']
Key: 9 -- Dims: [9] -- IDs: ['unit', 'geo', 'time']
Key: 10 -- Dims: [10] -- IDs: ['unit', 'geo', 'time']
Key: 11 -- Dims: [11] -- IDs: ['unit', 'geo', 'time']
Key: 12 -- Dims: [12] -- IDs: ['unit', 'geo', 'time']
Key: 13 -- Dims: [13] -- IDs: ['unit', 'geo', 'time']
Key: 14 -- Dims: [14] -- IDs: ['unit', 'geo', 'time']
Key: 15 -- Dims: [15] -- IDs: ['unit', 'geo', 'time']
Key: 16 -- Dims: [16] -- IDs: ['unit', 'geo', 'time']
Key: 17 -- Dims: [17] -- IDs: ['unit', 'geo', 'time']
Key: 18 -- Dims: [18] -- IDs: ['unit', 'geo', 'time']
Key: 19 -- Dims: [19] -- IDs: ['unit', 'geo', 'time']
Key: 20 -- Dims: [20] -- IDs: ['unit', 'geo', 'time']
Key: 21 -- Dims: [21] -- IDs: ['unit', 'geo', 'time']
Key: 22 -- Dims: [22] -- IDs: ['unit', 'geo', 'time']
Key: 23 -- Dims: [23] -- IDs: ['unit', 'geo', 'time']
Key: 24 -- Dims: [24] -- IDs: ['unit', 'geo', 'time']
Key: 25 -- Dims: [25] -- IDs: ['unit', 'geo', 'time']
